Method,IoU,ceiling,floor,wall,window,chair,bed,sofa,table,tvs,furniture,objects,mIoU
LMSCNet,33.93,\,88.41,4.63,0.25,3.94,32.03,15.44,6.57,0.02,14.51,4.39,15.88
AICNet,30.03,7.58,82.97,9.15,0.05,6.93,35.87,22.92,11.11,0.71,15.90,6.45,18.15
3DSketch,38.64,8.53,90.45,9.94,5.67,10.64,42.29,29.21,13.88,9.38,23.83,8.19,22.91
MonoScene,42.51,8.89,93.50,12.06,12.57,13.72,48.19,36.11,15.13,15.22,27.96,12.94,26.94
NDC-Scene,44.17,12.02,93.51,13.11,13.77,15.83,49.57,39.87,17.17,24.57,31.00,14.96,29.03
ISO,47.11,14.21,93.47,15.89,15.14,18.35,50.01,40.82,18.25,25.90,34.08,17.67,31.25
