quecto,upright("q")
ronto,upright("r")
yocto,upright("y")
zepto,upright("z")
atto,upright("a")
pico,upright("p")
nano,upright("n")
micro,upright("µ")
milli,upright("m")
centi,upright("c")
deci,upright("d")
deca,upright("da")
hecto,upright("h")
kilo,upright("k")
mega,upright("M")
giga,upright("G")
tera,upright("T")
peta,upright("P")
exa,upright("E")
zeta,upright("Z")
yotta,upright("Y")
ronna,upright("R")
quetta,upright("Q")
