lang	E001	E002	E003	E004	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E060	E061	E062	E063	E064	E065	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	F001	F002	F003	F004	F005	F006	F007	F008	F009	F010	F011	F012	F013	F014	F015	F016	F017	F018	F019	M001	M002	M003	M004	M005	M006	M007	M008	M009	M010	M011	M012	M013	M014	M015	M016	M017	M018	M019	M020	M021	M022	M023	M024	M025	M026	M027	M028	M029	M030	M031	M032	M033	M034	M035	M036	M037	M038	M039	M040	M041	M042	M043	M044	M045	M046	M047	M048	M049	M050	M051	M052	M053	M054	M055	M056	M057	M058	M059	M060	M061	M062	M063	M064	M065	M066	M067	M068	M069	M070	M071	M072	P001	P002	P003	P004	P005	P006	P007	P008	P009	P010	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	P044	P045	P046	P047	P048	P049	P050	P051	P052	P053	P054	P055	P056	P057	P058	P059	P060	P061	P062	P063	P064	P065	P066	P067	P068	P069	P070	P071	P072	P073	P074	P075	P076	P077	P078	P079	P080	P081	W001	W002	W003	W004	W005	W006	W007	W008	W009	W010	W011	W012	W013	W014	W015	W016	W017	W018	W019	W020	W021	W022	W023	W024	W025	W026	W027	W028	W029	W030	W031	W032	W033	W034	W035	W036	W037	W038	W039	W040	W041	W042	W043	W044	W045	W046	W047	W048	W049	W050	W051	W052	W053	W054	W055	W056	W057	W058	W059	W060	W061	W062	W063	W064	W065	W066	W067	W068	W069	W070	W071	W072	W073	W074	W075	W076	W077	W078	W079	W080	W082	W083	W084	W085	W087	W088	W089
en	Emergency exit (left hand)	Emergency exit (right hand)	First aid	Emergency telephone	Evacuation assembly point	Break to obtain access	Doctor	Automated external heart defibrillator	Eyewash station	Safety shower	Stretcher	Child seat presence and orientation detection system (CPOD)	Drinking water	Emergency window with escape ladder	Rescue window	Turn anticlockwise to open	Turn clockwise to open	Emergency stop button	Protection shelter	Door opens by pushing on the left-hand side	Door opens by pushing on the right-hand side	Evacuation temporary refuge	Emergency hammer	Emergency exit for people unable to walk or with walking impairment (left)	Medical grab bag	Oxygen resuscitator	Emergency escape breathing device	Emergency exit for people unable to walk or with walking impairment (right)	Shipboard general alarm	Shipboard assembly station	Door slides right to open	Door slides left to open	Liferaft knife	Lifeboat	Rescue boat	Liferaft	Davit-launched liferaft	Lifebuoy	Lifebuoy with line	Lifebuoy with light	Lifebuoy with line and light	Lifejacket	Child's lifejacket	Infant's lifejacket	Search and rescue transponder	Survival craft distress signals	Rocket parachute flare	Line-throwing appliance	Two-way VHF radiotelephone apparatus	Emergency position indicating radio beacon	Embarkment ladder	Marine evacuation slide	Marine evacuation chute	Survival clothing	Door opens by pulling on the left-hand side	Door opens by pulling on the right-hand side	Escape ladder	Evacuation chair	Water life-saving equipment	Tsunami evacuation area	Tsunami evacuation building	First aid responder	Natural disaster outdoor refuge area	Evacuation mattress	Lifebuoy with light and smoke	Person overboard call point	Evacuation lift for people unable to use stairs	Rescue toboggan	Safe anchorage point	Emergency descent device	Emergency rations	Lifeguard	Evacuation equipment	Fire extinguisher	Fire hose reel	Fire ladder	Collection of firefighting equipment	Fire alarm call point	Fire emergency telephone	Fire protection door	Fixed fire extinguishing battery	Wheeled fire extinguisher	Portable foam applicator unit	Water fog applicator	Fixed fire extinguishing installation	Fixed fire extinguishing bottle	Remote release station	Fire monitor	Fire blanket	Firefighters' lift	Fire alarm flashing light	Unconnected fire hose	General mandatory action sign	Refer to instruction manual/booklet	Wear ear protection	Wear eye protection	Connect an earth terminal to the ground	Disconnect mains plug from electrical outlet	Opaque eye protection must be worn	Wear safety footwear	Wear protective gloves	Wear protective clothing	Wash your hands	Use handrail	Wear a face shield	Wear head protection	Wear high-visibility clothing	Wear a mask	Wear respiratory protection	Wear a safety harness	Wear a welding mask	Wear safety belts	Disconnect before carrying out maintenance or repair	Use barrier cream	Use footbridge	Use this walkway	Protect infants' eyes with opaque eye protection	Use protective apron	Check guard	Keep locked	Sound horn	Use litter bin	Use table saw adjustable guard	Wear anti-static footwear	Close safety bar of chairlift	Open safety bar of chairlift	Immediately leave the tow-track in the event of falling	Lift ski tips	Close and secure hatches in launch sequence	Start engine in launch sequence	Lower lifeboat to the water in launch sequence	Lower liferaft to the water in launch sequence	Lower rescue boat to the water in launch sequence	Release falls in launch sequence	Start water spray in launch sequence	Start air supply in launch sequence	Release lifeboat gripes in launch sequence	Secure gas cylinders	Use self-contained breathing appliance	Use gas detector	Wear protective roller sport equipment	Alighting from toboggan to the left	Alighting from toboggan to the right	Keep distance between toboggans	Wear personal flotation devices	Keep children under supervision in the aquatic environment	Keep out of the reach of children[10][11]	Ventilate before and during entering	Ensure continuous ventilation	Entry only with supervisor outside	Wear laboratory coat	Hold the trolley handle	Disinfect your hands	Disinfect surface	Remove ski pole strap from wrist	Hold two ski poles with a single hand	Children must be accompanied	Wear a sports helmet	Wear snow goggles	Lock moving mechanical parts	Tools must be tethered	Use lamp in luminaire with shield	Use anti-tip restraints	Use decontamination shower	General prohibition sign	No smoking	No open flame; Fire, open ignition source and smoking prohibited	No thoroughfare	Not drinking water	No access for forklift trucks and industrial vehicles	No access for people with active implanted cardiac devices	No metallic articles or watches	No climbing	Do not touch	Do not extinguish with water	No heavy load	No activated mobile phone	No access for people with metallic implants	No reaching in	Do not spray with water	No pushing	No sitting	No stepping on surface	Do not use lift in the event of fire	No dogs	No eating or drinking	Do not obstruct	Do not walk or stand here	Do not use this incomplete scaffold	Do not use this device in a bathtub, shower or water-filled reservoir	Do not use this lift for people	Do not wear gloves	No photography	Do not tie knots in rope	Do not alter the state of the switch	Do not use for face grinding	Do not use for wet grinding	Do not use with hand-held grinder	Do not wear metal-studded footwear	No children allowed	Do not leave the tow-track	Do not swing the chair	Hot works prohibited	Do not set off fireworks	No leaning against	Not for pregnant women	Not for people in the state of intoxication	Use of smart glasses prohibited	No campfire	Do not stretch out of toboggan	Do not ram into toboggans	No running	No swimming	No snorkelling	No sub-aqua diving	No diving	No sailing	No windsurfing	No manually powered craft	No mechanically powered craft	No personal water craft	No towed water activity	No surf craft	No outdoor footwear	No jumping into water	No pushing into water	No body boarding 	No surfing between the red-and-yellow flags	No kite surfing	No parasailing	No sand yachting	Do not expose to direct sunlight or hot surface	Not to be serviced by users	Do not put finger into the nozzle of a hydromassage	Do not cross barrier	No jumping down	Do not shut lid when burners are operating	Child seat installation prohibited	Do not stare at light source	No skiing	No snowboarding	No tobogganing or sledding	No ice skating	No access for unauthorized persons	Do not cover appliance	General warning sign	Explosive material	Radioactive material or ionizing radiation	Laser beam	Non-ionizing radiation	Magnetic field	Floor-level obstacle	Drop (fall)	Biological hazard	Low temperature/freezing conditions	Slippery surface	Electricity	Guard dog	Forklift trucks and other industrial vehicles	Overhead load	Toxic material	Hot surface	Automatic start-up	Crushing	Overhead obstacle	Flammable material	Sharp element	Corrosive substance	Crushing of hands	Counterrotating rollers	Battery charging	Optical radiation	Oxidizing substance	Pressurized cylinder	Hand crushing between press brake tool	Hand crushing between press brake and material	Rapid movement of workpiece in press brake	Barbed wire	Bull	Falling objects	Fragile roof	Run over by remote operator controlled machine	Sudden loud noise	Falling ice	Roof avalanche	Asphyxiating atmosphere	Arc flash	Thin ice	Slipway	Towed water activity area	Surf craft area	Deep water	Shallow water (diving)	Submerged objects	Sudden drop in swimming or leisure pools	Unprotected edge	Unstable cliff edge	Unstable cliff	Shark	Sewage effluent outfall	Tsunami hazard zone	Strong currents	Boating area	Sand yachting	Incoming tides	Quicksand or mud/deep mud or silt	Kite surfing	Parasailing	Strong winds	High surf or large breaking waves	Deep shelving beach	Crocodiles, alligators or caymans	Falling into water when stepping on or off a floating surface	Jellyfish	Step down	Substance or mixture presenting a health hazard	Substance or mixture that can cause an environmental hazard	Large-scale fire zone	Tornado zone	Active volcano zone	Debris flow zone	Flood zone	Landslide zone	Hot content	Hot steam	Crevasses under snow	Avalanche	Thunderstorm	Typhoon/hurricane/cyclone zone	High sound volume levels	Moving blades	Moving gears
de	Rettungsweg/Notausgang (links)	Rettungsweg/Notausgang (rechts)	Erste Hilfe	Notruftelefon	Sammelstelle	Notausgangs­vorrichtung, die nach Zerschlagen einer Scheibe zu erreichen ist	Arzt	Automatisierter Externer Defibrillator (AED)	Augenspül­einrichtung	Notdusche	Krankentrage	Erkennungssystem für das Vorhandensein und die Orientierung eines Kindersitzes (CPOD)	Trinkwasser	Notausstieg mit Fluchtleiter	Rettungsausstieg	Öffnung durch Linksdrehung	Öffnung durch Rechtsdrehung	Not-Halt-Knopf	Schutzhütte	Tür öffnet durch Drücken auf der linken Seite	Tür öffnet durch Drücken auf der rechten Seite	Vorläufige Evakuierungsstelle	Nothammer	Notausgang für nicht-gehfähige oder gehbeeinträchtigte Personen (links)	Medizinischer Notfallkoffer	Wiederbelebungsgerät	Fluchtretter	Notausgang für nicht-gehfähige oder gehbeeinträchtigte Personen (rechts)	Generalalarm auf einem Schiff	Sammelstelle auf einem Schiff	Schiebetür öffnet nach rechts	Schiebetür öffnet nach links	Messer für Rettungsfloßausrüstung	Rettungsboot	Bereitschaftsboot	Rettungsfloß	Mit Davit aussetzbares Rettungsfloß	Rettungsring	Rettungsring mit Leine	Rettungsring mit Licht	Rettungsring mit Leine und Licht	Rettungsweste	Rettungsweste für Kinder	Rettungsweste für Säuglinge	Radartransponder für Suche und Rettung	Signalrakete	Fallschirm-Signalrakete	Leinenwurfgerät	UKW-Sprechfunkgerät (Senden/Empfangen), tragbar	Funkbake zur Kennzeichnung der Seenotposition	Einbootungsleiter	Offene Rutsche für Schiffsevakuierung	Geschlossene Rutsche für Schiffsevakuierung	Überlebensanzug	Tür öffnet durch Ziehen auf der linken Seite	Tür öffnet durch Ziehen auf der rechten Seite	Fluchtleiter	Rettungsstuhl	Wasser-Rettungsausrüstung	Tsunami-Zufluchtsbereich	Tsunami-Zufluchtsgebäude	Ersthelfer	Zufluchtsort im Freien bei Naturkatastrophen	Evakuierungsmatratze	Rettungsring mit Licht und Rauch	Person-über-Bord-Melder	Rettungsaufzug für nicht-gehfähige oder gehbeeinträchtigte Personen	Rettungsrodel	Sicherer Einhakpunkt	Notfall-Klettergeschirr	Notfallration	Rettungsschwimmer	Hilfsmittel für Evakuierungsmaßnahmen	Feuerlöscher	Wandhydrant	Feuerleiter	Mittel und Geräte zur Brandbekämpfung	Brandmelder	Brandmeldetelefon	Brandschutztür	Fest eingebaute Feuerlöschmittel-Batterie	Fahrbarer Feuerlöscher	Tragbare Schaumlösch-Einheit	Wassernebelrohr	Fest eingebaute Feuerlösch-Einrichtung	Fest eingebaute Feuerlösch-Flasche	Auslösestation für Raumschutz	Feuerlöschmonitor	Löschdecke	Feuerwehraufzug	Brandalarm-Blitzleuchte	Löschschlauch, nicht angeschlossen	Allgemeines Gebotszeichen	Gebrauchsanweisung beachten	Gehörschutz benutzen	Augenschutz benutzen	Vor Benutzung erden	Netzstecker ziehen	Weitgehend lichtundurchlässigen Augenschutz benutzen	Fußschutz benutzen	Handschutz benutzen	Schutzkleidung benutzen	Hände waschen	Handlauf benutzen	Gesichtsschutz benutzen	Kopfschutz benutzen	Warnweste benutzen	Maske benutzen	Atemschutz benutzen	Auffanggurt benutzen	Schweißmaske benutzen	Rückhaltesystem benutzen	Vor Wartung oder Reparatur freischalten	Hautschutzmittel benutzen	Übergang benutzen	Fußgängerweg benutzen	Kleinkinder durch weitgehend lichtundurchlässige Augenabschirmung schützen	Schutzschürze benutzen	Absperrung prüfen	Verschlossen halten	Akustisches Signal geben	Abfallbehälter benutzen	Schutzhaube der Tischkreissäge benutzen	Antistatisches Schuhwerk benutzen	Sicherheitsbügel des Sessellifts schließen	Sicherheitsbügel des Sessellifts öffnen	Im Fall eines Sturzes Schleppspur sofort verlassen	Skispitzen anheben	Öffnungen schließen und sichern beim Aussetzvorgang	Motor starten beim Aussetzvorgang	Rettungsboot fieren beim Aussetzvorgang	Rettungsfloß fieren beim Aussetzvorgang	Bereitschaftsboot fieren beim Aussetzvorgang	Fallen lösen beim Aussetzvorgang	Wassersprühanlage einschalten beim Aussetzvorgang	Luftversorgung einschalten beim Aussetzvorgang	Rettungsboot-Laschings lösen beim Aussetzvorgang	Gasflaschen sichern	Umgebungsluftunabhängigen Atemschutz benutzen	Gasdetektor benutzen	Schutzausrüstung für Rollsport benutzen	Beim Ausstieg den Rodel nach links verlassen	Beim Ausstieg den Rodel nach rechts verlassen	Abstand halten zwischen den Rodeln	Rettungsweste benutzen	Kinder in Wassereinrichtungen beaufsichtigen	Von Kindern fernhalten	Vor und während des Betretens lüften	Kontinuierliche Lüftung sicherstellen	Zutritt nur mit außenstehender Aufsichtsperson	Laborkittel tragen	Griff des Wagens festhalten	Hände desinfizieren	Fläche desinfizieren	Skistockschlaufe vom Handgelenk entfernen	Zwei Skistöcke mit einer Hand halten	Kinder müssen in Begleitung sein	Sporthelm benutzen	Skibrille benutzen	Bewegliche Maschinenteile sperren	Werkzeuge einhaken	Lampe in Leuchte mit Abschirmung verwenden	Kippsicherung benutzen	Dekontaminationsdusche benutzen	Allgemeines Verbotszeichen	Rauchen verboten	Keine offene Flamme; Feuer, offene Zündquelle und Rauchen verboten	Für Fußgänger verboten	Kein Trinkwasser	Für Flurförderzeuge verboten	Kein Zutritt für Personen mit Herzschrittmachern oder implantierten Defibrillatoren	Mitführen von Metallteilen oder Uhren verboten	Aufsteigen verboten	Berühren verboten	Mit Wasser löschen verboten	Keine schwere Last	Eingeschaltete Mobiltelefone verboten	Kein Zutritt für Personen mit Implantaten aus Metall	Hineinfassen verboten	Mit Wasser spritzen verboten	Schieben verboten	Sitzen verboten	Aufsteigen verboten	Aufzug im Brandfall nicht benutzen	Mitführen von Hunden verboten	Essen und Trinken verboten	Abstellen oder Lagern verboten	Betreten der Fläche verboten	Benutzen des unvollständigen Gerüstes verboten	Verbot, dieses Gerät in der Badewanne, Dusche oder über mit Wasser gefülltem Becken zu benutzen	Personenbeförderung verboten	Benutzen von Handschuhen verboten	Fotografieren verboten	Knoten von Seilen verboten	Schalten verboten	nicht zulässig für Seitenschleifen	nicht zulässig für Nassschleifen	nicht zulässig für Freihandschleifen und handgeführtem Schleifen	Metallbeschlagenes Schuhwerk verboten	Kein Zutritt für Kinder	Schleppspur verlassen verboten	Schaukeln im Sessel verboten	Heißarbeiten verboten	Feuerwerk zünden verboten	Gegenlehnen verboten	Für schwangere Frauen verboten	Für Personen im Rauschzustand verboten	Nutzung von Datenbrillen verboten	Lagerfeuer verboten	Nicht aus Rodelschlitten herausstrecken	Andere Schlitten rammen verboten	Laufen verboten	Schwimmen verboten	Schnorcheln verboten	Geräte-Tauchen verboten	Kopfsprung verboten	Segeln verboten	Windsurfen verboten	Muskelbetriebene Boote verboten	Maschinenbetriebene Boote verboten	Jet-Ski verboten	Wasserski-Aktivitäten verboten	Surfen verboten	Tragen von Straßenschuhen verboten	In das Wasser springen verboten	In das Wasser schubsen verboten	Body-Boarding verboten	Surfen zwischen den rot-gelben Flaggen verboten	Kitesurfen verboten	Parasailing verboten	Strandsegeln verboten	Nicht der direkten Sonneneinstrahlung oder einer heißen Oberfläche aussetzen	Nicht von Benutzern zu warten	Finger nicht in die Hydromassagedüse stecken	Barriere übersteigen verboten	Abspringen verboten	Deckel nicht schließen, wenn die Brenner in Betrieb sind	Kindersitz installieren verboten	Nicht in die Lichtquelle schauen	Skifahren verboten	Snowboarden verboten	Rodeln oder Schlittenfahren verboten	Schlittschuhlaufen verboten	Zutritt für unbefugte Personen verboten	Gerät nicht abdecken	Allgemeines Warnzeichen	Warnung vor explosionsgefährlichen Stoffen	Warnung vor radioaktiven Stoffen oder ionisierenden Strahlen	Warnung vor Laserstrahl	Warnung vor nicht ionisierender Strahlung	Warnung vor magnetischem Feld	Warnung vor Hindernissen am Boden	Warnung vor Absturzgefahr	Warnung vor Biogefährdung	Warnung vor niedriger Temperatur/Kälte	Warnung vor Rutschgefahr	Warnung vor elektrischer Spannung	Warnung vor Wachhunden	Warnung vor Flurförderzeugen	Warnung vor schwebender Last	Warnung vor giftigen Stoffen	Warnung vor heißer Oberfläche	Warnung vor automatischem Anlauf	Warnung vor Quetschgefahr	Warnung vor Hindernissen im Kopfbereich	Warnung vor feuergefährlichen Stoffen	Warnung vor spitzem Gegenstand	Warnung vor ätzenden Stoffen	Warnung vor Handverletzungen	Warnung vor gegenläufigen Rollen	Warnung vor Gefahren durch das Aufladen von Batterien	Warnung vor optischer Strahlung	Warnung vor brandfördernden Stoffen	Warnung vor Gasflaschen	Warnung vor Quetschgefahr der Hand zwischen Werkzeugen einer Presse	Handquetschung zwischen dem Werkzeug der Abkantpresse	Warnung vor hochschnellendem Werkstück in einer Presse	Warnung vor Stacheldraht	Warnung vor Stier	Warnung vor herabfallenden Gegenständen	Warnung vor nicht durchtrittsicherem Dach	Warnung vor Überrollen durch ferngesteuerte Maschine	Warnung vor unvermittelt auftretendem lauten Geräusch	Warnung vor Eisschlag	Warnung vor Dachlawine	Warnung vor Erstickungsgefahr	Warnung vor Lichtbogen	Warnung vor dünnem Eis	Warnung vor Slipanlage	Warnung vor Wasserski-Bereich	Warnung vor Surfsportgebiet	Warnung vor tiefem Wasser	Warnung vor flachem Wasser	Warnung vor Objekten unter der Wasseroberfläche	Warnung vor unvermittelter Tiefenänderung in Schwimm- oder Freizeitbecken	Warnung vor ungesicherter Uferkante	Warnung vor instabiler Klippenkante	Warnung vor Steinschlag von instabiler Klippe	Warnung vor Haien	Warnung vor Abwassereinleitung	Warnung vor Tsunami-gefährdetem Bereich	Warnung vor starker Strömung	Warnung vor Schiffsverkehr	Warnung vor Strandseglern	Warnung vor auflaufender Tide	Warnung vor Treibsand oder tiefem Schlamm	Warnung vor Kitesurfern	Warnung vor Parasailing	Warnung vor starkem Wind	Warnung vor hoher Brandung oder hohen brechenden Wellen	Warnung vor steil abfallendem Strand	Warnung vor Krokodilen, Alligatoren oder Kaimanen	Warnung vor dem ins Wasser Fallen beim Betreten oder Verlassen einer schwimmenden Fläche	Warnung vor Quallen	Warnung vor Abwärtsstufe	Warnung vor gesundheitsgefährdenden Stoffen oder Gemischen	Warnung vor umweltgefährdenden Stoffen oder Gemischen	Warnung vor großflächigem Brandgebiet	Warnung vor Tornadogebiet	Warnung vor aktivem Vulkangebiet	Warnung vor Murganggebiet	Warnung vor Überschwemmungsgebiet	Warnung vor Erdrutschgebiet	Warnung vor heißem Inhalt	Warnung vor heißem Dampf	Warnung vor Gletscherspalten unter dem Schnee	Warnung vor Lawine	Warnung vor Gewitter	Warnung vor Taifun-/Hurrikan-/Zyklon-Gebiet	Warnung vor hoher Lautstärke	Warnung vor beweglichen Klingen	Warnung vor beweglichen Zahnrädern
